,ra_deg,dec_deg
0,73.55625,-53.361055555600004
1,2.05566666667,-34.5783333333
2,12.455,-21.015
3,47.5436666667,-40.0029166667
4,200.284166667,-31.5291666667
5,50.028999999999996,-52.1855277778
6,204.333291667,-28.045
7,23.7692916667,-41.4361944444
8,67.4172083333,-27.408527777800003
9,7.84379166667,-22.7659722222
10,302.382375,-61.850472222200004
11,57.9204166667,-38.4522222222
12,52.8807916667,-51.9048333333
13,166.55,-14.4071388889
14,193.488708333,-12.1058333333
15,195.81975,-17.423027777799998
16,199.728375,-21.0391111111
17,359.457625,-32.5910277778
18,47.4077916667,-41.0304722222
19,86.6007083333,-52.088527777799996
20,79.1616666667,-37.1025277778
21,74.9908333333,-26.022222222199996
22,165.849041667,-23.086777777800002
23,165.942,-23.2455
24,53.7555833333,-24.933222222199998
25,193.6125,-10.508333333300001
26,178.35025,-28.5531666667
27,344.32654166699996,-41.0705833333
28,13.1765,-31.2058333333
29,65.00175,-54.9378055556
30,71.4270833333,-59.247194444399994
